President,Gender,Year,Degree,Area
J. H. Curtiss,M,1947,Statistics,Numerical analysis with computers
John W. Mauchly,M,1949,Physics,ENiAC computer
Franz L. Alt,M,1950,Mathematics,Federal government use of computers
Samuel B. Williams,M,1952,Computer Engineer,First electric digital computer
A. S. Householder,M,1954,Mathematics,Oak Ridge National Lab
J. W. Carr III,M,1956,Mathematics,Computer education
R. W. Hamming,M,1958,Mathematics,Error correcting code
Harry D. Huskey,M,1960,Computer Design,(unknown)
Alan J. Perlis,M,1962,Mathematics,Computer programming languages
George E. Forsythe,M,1964,Mathematics,Stanford computer science
Anthony G. Oettinger,M,1966,Computer Science,Linguist
Bernard A. Galler,M,1968,Mathematics,Computer operating systems
Walter M. Carlson,M,1970,Chemical Engineering,Univac programming
Anthony Ralston,M,1972,Mathematics,Bell Telephone Labs
Jean E. Sammet,F,1974,Mathematics,Computer Programming languages
Herbert R.J. Grosch,M,1976,Astronomy,Computer space technology
Daniel D. McCracken,M,1978,Theology,Computer programming
Peter J. Denning,M,1980,Computer Science,Multiprocessing systems
David H. Brandin,M,1982,Computer Science,Information technology
Adele Goldberg,F,1984,Computer Science,Smalltalk language
Paul W. Abrahams,M,1986,Mathematics,Computer science
Bryan S. Kocher,M,1988,Computer Science,High performance computing
John R. White,M,1990,Computer Science ,Computer Science Education
Gwen Bell,F,1992,Geography,Computer Museum
Stuart H. Zweben,M,1994,Statistics and Computer Science,Computer Research and Teaching
Charles House,M,1996,Electrical Engineering,HP Computer Engineering
Barbara Simons,F,1998,Computer Science,Scheduling theory
Stephen R. Bourne,M,2000,Computer Science,Unix programs
Maria M. Klawe,F,2002,Computer Science,President of Harvey Mudd College
David Patterson,M,2004,Computer Science,Microprogram verification
Stuart Feldman,M,2006,Applied Math and Astrophysics,Unix programs
Dame Wendy Hall,F,2008,Mathematics,Computer Science Multimedia
Alain Chesnais,M,2010,Computer Graphics,Maya 3D system
Vinton G. Cerf,M,2012,Computer Science,Father of the Internet
Alexander L. Wolf,M,2014,Computer Engineer Networking,Distributed systems
Vicki L. Hanson,F,2016,Pyschology,Human computer interaction and accessibility
Cherri M. Pancake,F,2018,Computer Engineer,Oregon State University Professor
Gabriele Kotsis,F,2020,Social and Economic Science,European computer research initiatives
