city,latitude,longitude,country_code,population
Rockingham,-32.27682,115.72978,AU,108022
Perth,-31.95224,115.8614,AU,1896548
Mandurah,-32.5269,115.7217,AU,83294
Darwin,-12.46113,130.84185,AU,129062
Bunbury,-33.32711,115.64137,AU,68248
Adelaide,-34.92866,138.59863,AU,1225235
Townsville,-19.26639,146.80569,AU,196219
Toowoomba,-27.56056,151.95386,AU,131258
Sydney,-33.86785,151.20732,AU,4627345
Rockhampton,-23.38032,150.50595,AU,61724
Reservoir,-37.71667,145,AU,50092
Newcastle,-32.92953,151.7801,AU,308308
Melbourne,-37.814,144.96332,AU,4246375
Maitland,-32.73308,151.5574,AU,67132
Mackay,-21.15345,149.16554,AU,74219
Launceston,-41.43876,147.13467,AU,106153
Hobart,-42.87936,147.32941,AU,216656
Gold Coast,-28.00029,153.43088,AU,591473
Geelong,-38.14711,144.36069,AU,226034
Craigieburn,-37.6,144.95,AU,50069
Wollongong,-34.424,150.89345,AU,292190
Canberra,-35.28346,149.12807,AU,367752
Cairns,-16.92366,145.76613,AU,153075
Bundaberg,-24.86621,152.3479,AU,70826
Brisbane,-27.46794,153.02809,AU,2189878
Bendigo,-36.75818,144.28024,AU,100617
Ballarat,-37.56622,143.84957,AU,97937
Hervey Bay,-25.28762,152.76936,AU,52230
Logan City,-27.63917,153.10944,AU,282673
Adelaide Hills,-34.91119,138.70735,AU,60394
Melbourne City Centre,-37.81501,144.96657,AU,60057
Abbotsford,49.05798,-122.25257,CA,151683
Ajax,43.85012,-79.03288,CA,90167
Aurora,44.00011,-79.46632,CA,55445
Barrie,44.40011,-79.66634,CA,182041
Brampton,43.68341,-79.76633,CA,433806
Brantford,43.1334,-80.26636,CA,87759
Brossard,45.45008,-73.46583,CA,69575
Burlington,43.38621,-79.83713,CA,164415
Burnaby,49.26636,-122.95263,CA,202799
Calgary,51.05011,-114.08529,CA,1019942
Cambridge,43.3601,-80.31269,CA,120372
Chilliwack,49.16638,-121.95257,CA,77000
Coquitlam,49.2846,-122.78217,CA,140000
Dartmouth,44.67134,-63.57719,CA,101343
Delta,49.14399,-122.9068,CA,101668
Drummondville,45.88336,-72.48241,CA,59489
Edmonton,53.55014,-113.46871,CA,712391
Fort McMurray,56.72676,-111.38103,CA,76000
Fredericton,45.94541,-66.66558,CA,52337
Gatineau,45.47723,-75.70164,CA,242124
Granby,45.40008,-72.73243,CA,53979
Greater Sudbury,46.49,-80.99001,CA,157857
Guelph,43.54594,-80.25599,CA,115760
Hamilton,43.25011,-79.84963,CA,519949
Kamloops,50.66648,-120.3192,CA,68714
Kanata,45.3001,-75.91606,CA,90000
Kelowna,49.88307,-119.48568,CA,125109
Kingston,44.22976,-76.48098,CA,114195
Kitchener,43.42537,-80.5112,CA,233700
Laval,45.56995,-73.692,CA,376845
Lethbridge,49.69999,-112.81856,CA,70617
London,42.98339,-81.23304,CA,346765
Longueuil,45.53121,-73.51806,CA,229330
Maple Ridge,49.21939,-122.60193,CA,70000
Markham,43.86682,-79.2663,CA,261573
Medicine Hat,50.03928,-110.67661,CA,63138
Milton,43.51681,-79.88294,CA,101715
Mississauga,43.5789,-79.6583,CA,668549
Moncton,46.09454,-64.7965,CA,108620
Montreal,45.50884,-73.58781,CA,1600000
Nanaimo,49.16638,-123.94003,CA,84905
Nepean,45.33619,-75.7225,CA,180000
Newmarket,44.05011,-79.46631,CA,74295
New Westminster,49.20678,-122.91092,CA,58549
Niagara Falls,43.10012,-79.06627,CA,82000
Norfolk County,42.8334,-80.38297,CA,60847
North Bay,46.3168,-79.46633,CA,50396
Notre-Dame-de-Grace,45.47675,-73.61432,CA,67000
Oakville,43.45011,-79.68292,CA,165697
