Year,Homicide,Attempted murder,Violent crimes,Property crimes,Other crimes,Total
1963,1.32,0.57,249,2047,726,3022
1964,1.31,0.63,284,2146,815,3245
1965,1.41,0.57,299,2091,809,3199
1966,1.25,0.65,347,2258,907,3511
1967,1.66,0.68,381,2484,985,3850
1968,1.81,0.87,423,2826,1087,4336
1969,1.86,1.03,453,3120,1164,4737
1970,2.19,1.22,481,3515,1217,5212
1971,2.15,1.53,492,3649,1170,5311
1972,2.34,1.85,497,3634,1224,5355
1973,2.43,2.15,524,3704,1546,5773
1974,2.63,2.28,553,4151,1684,6388
1975,3.03,2.77,585,4498,1769,6852
1976,2.85,2.95,584,4533,1867,6984
1977,3.0,2.88,572,4466,1933,6971
1978,2.76,3.1,580,4579,1995,7154
1979,2.61,3.12,610,4903,2153,7666
1980,2.41,3.23,636,5444,2263,8343
1981,2.61,3.63,654,5759,2322,8736
1982,2.66,3.75,671,5840,2262,8773
1983,2.69,3.47,679,5608,2182,8470
1984,2.6,3.6,701,5501,2185,8387
1985,2.72,3.34,735,5451,2227,8413
1986,2.18,3.37,785,5550,2392,8727
1987,2.43,3.46,829,5553,2575,8957
1988,2.15,3.12,868,5439,2613,8919
1989,2.41,3.04,911,5289,2692,8892
1990,2.38,3.27,973,5612,2900,9485
1991,2.69,3.72,1,059,6160,3122,10342
1992,2.58,3.72,1,084,5904,3052,10040
1993,2.19,3.43,1,082,5575,2881,9538
1994,2.06,3.18,1,047,5257,2821,9125
1995,2.01,3.2,1,009,5292,2707,9008
1996,2.14,2.97,1,002,5274,2656,8932
1997,1.96,2.89,993,4880,2603,8475
1998,1.85,2.47,995,4569,2529,8093
1999,1.77,2.26,971,4276,2449,7695
2000,1.78,2.5,996,4081,2534,7610
2001,1.78,2.34,995,4004,2593,7592
2002,1.86,2.16,980,3976,2560,7516
2003,1.74,2.23,978,4125,2670,7773
2004,1.95,2.1,957,3976,2668,7601
2005,2.06,2.55,962,3744,2620,7326
2006,1.86,2.57,968,3605,2673,7246
2007,1.81,2.41,952,3335,2621,6908
2008,1.84,2.17,938,3096,2598,6632
2009,1.81,2.38,926,3005,2531,6462
2010,1.63,1.96,907,2802,2451,6160
2011,1.74,1.94,869,2586,2324,5780
2012,1.56,1.91,841,2521,2269,5632
2013,1.44,1.83,766,2342,2082,5191
