country code,asciiname,feature class,population,elevation
CH,Zwischbergen,P,127,
CH,Zwingen,P,2162,
CH,Zweisimmen,P,2813,
CH,Zuzwil,P,4226,
CH,Zuzgen,P,863,
CH,Bad Zurzach,P,4213,
CH,Zurich,P,341730,
CH,Zuoz,P,1209,
CH,Zunzgen,P,2632,
CH,Zumikon,P,4424,
CH,Zumholz,P,447,
CH,Zullwil,P,587,
CH,Zug,P,23435,425.0
CH,Zuchwil,P,9268,
CH,Zollikon,P,5812,
CH,Zollikofen,P,9121,
CH,Zofingen,P,11451,
CH,Zizers,P,3009,561.0
CH,Zimmerwald,P,806,
CH,Zernez,P,1053,
CH,Zermatt,P,6629,1608.0
CH,Zeneggen,P,259,
CH,Zell,P,289,
CH,Zell,P,1943,
CH,Zeihen,P,993,
CH,Zeglingen,P,526,
CH,Zaziwil,P,1535,
CH,Yvorne,P,885,
CH,Yvonand,P,2401,436.0
CH,Yverdon-les-Bains,P,23702,
CH,Yens,P,997,
CH,Wyssachen,P,1251,
CH,Wynigen,P,2090,
CH,Wynau,P,1610,
CH,Wurenlos,P,5497,
CH,Wurenlingen,P,3741,
CH,Wuppenau,P,957,
CH,Worben,P,2042,
CH,Worb,P,11053,
CH,Wollerau,P,6883,
CH,Wolhusen,P,4050,
CH,Wolfwil,P,2079,
CH,Woelflinswil,P,910,
CH,Wolfenschiessen,P,2080,
CH,Wohlen,P,13875,
CH,Wohlen,P,9159,
CH,Wittnau,P,1062,
CH,Wittenbach,P,8542,
CH,Zuerich (Kreis 7) / Witikon,P,9099,
CH,Winterthur,P,91908,
CH,Winikon,P,685,
CH,Windlach,P,366,
CH,Windisch,P,6689,
CH,Wimmis,P,2237,
CH,Willisau,P,3125,
CH,Wileroltigen,P,400,
CH,Wiler,P,541,
CH,Wildhaus,P,1221,
CH,Wilderswil,P,2303,
CH,Wildberg,P,344,
CH,Wilchingen,P,2193,424.0
CH,Wila,P,1387,
CH,Wil,P,785,
CH,Wil,P,16808,
CH,Wikon,P,1218,
CH,Wigoltingen,P,2040,
CH,Wiesendangen / Wiesendangen (Dorf),P,1649,
CH,Davos Wiesen,P,360,
CH,Wiedlisbach,P,2213,
CH,Zuerich (Kreis 3) / Alt-Wiedikon,P,14931,
CH,Wetzikon,P,12969,
CH,Wettingen,P,18191,
