Entity,Code,Date,people_vaccinated_per_hundred
Alabama,,1/12/21,1.44
Alabama,,1/13/21,1.52
Alabama,,1/14/21,1.64
Alabama,,1/15/21,1.77
Alabama,,1/19/21,2.33
Alabama,,1/20/21,2.47
Alabama,,1/21/21,2.95
Alabama,,1/22/21,3.56
Alabama,,1/23/21,3.96
Alabama,,1/24/21,4.36
Alaska,,1/12/21,3.07
Alaska,,1/13/21,3.36
Alaska,,1/14/21,4.85
Alaska,,1/15/21,5.41
Alaska,,1/19/21,7.58
Alaska,,1/20/21,7.78
Alaska,,1/21/21,8.13
Alaska,,1/22/21,9.2
Alaska,,1/23/21,9.98
Alaska,,1/24/21,10.65
American Samoa,ASM,1/12/21,1.51
American Samoa,ASM,1/13/21,2.14
American Samoa,ASM,1/14/21,4.33
American Samoa,ASM,1/15/21,5.65
American Samoa,ASM,1/19/21,7.16
American Samoa,ASM,1/20/21,8.04
American Samoa,ASM,1/21/21,8.5
American Samoa,ASM,1/22/21,10.1
American Samoa,ASM,1/23/21,10.56
American Samoa,ASM,1/24/21,12.74
Arizona,,1/12/21,1.31
Arizona,,1/13/21,1.43
Arizona,,1/14/21,2.16
Arizona,,1/15/21,2.42
Arizona,,1/19/21,3.23
Arizona,,1/20/21,3.39
Arizona,,1/21/21,3.6
Arizona,,1/22/21,3.85
Arizona,,1/23/21,4.2
Arizona,,1/24/21,4.56
Arkansas,,1/12/21,1.3
Arkansas,,1/13/21,2.67
Arkansas,,1/14/21,2.99
Arkansas,,1/15/21,3.24
Arkansas,,1/19/21,3.94
Arkansas,,1/20/21,4.8
Arkansas,,1/21/21,4.8
Arkansas,,1/22/21,5.56
Arkansas,,1/23/21,5.56
Arkansas,,1/24/21,5.94
California,,1/12/21,1.78
California,,1/13/21,1.88
California,,1/14/21,2.03
California,,1/15/21,2.19
California,,1/19/21,3.03
California,,1/20/21,3.18
California,,1/21/21,3.38
California,,1/22/21,3.74
California,,1/23/21,4.2
California,,1/24/21,4.65
Colorado,,1/12/21,3.26
Colorado,,1/13/21,3.44
Colorado,,1/14/21,3.63
Colorado,,1/15/21,3.89
Colorado,,1/19/21,4.84
Colorado,,1/20/21,4.99
Colorado,,1/21/21,5.15
Colorado,,1/22/21,5.44
Colorado,,1/23/21,5.44
Colorado,,1/24/21,6.17
Connecticut,,1/12/21,1.58
Connecticut,,1/13/21,1.65
Connecticut,,1/14/21,4.39
Connecticut,,1/15/21,4.68
Connecticut,,1/19/21,5.66
Connecticut,,1/20/21,5.98
Connecticut,,1/21/21,6.48
Connecticut,,1/22/21,6.98
Connecticut,,1/23/21,7.41
Connecticut,,1/24/21,7.72
Delaware,,1/12/21,1.63
Delaware,,1/13/21,1.71
Delaware,,1/14/21,2.63
Delaware,,1/15/21,2.63
Delaware,,1/19/21,3.66
Delaware,,1/20/21,3.96
Delaware,,1/21/21,4.3
Delaware,,1/22/21,4.65
Delaware,,1/23/21,5.08
Delaware,,1/24/21,5.4
District of Columbia,,1/13/21,0.28
District of Columbia,,1/14/21,4.24
District of Columbia,,1/15/21,4.49
District of Columbia,,1/19/21,5.63
District of Columbia,,1/20/21,5.83
District of Columbia,,1/21/21,6.15
District of Columbia,,1/22/21,6.34
District of Columbia,,1/23/21,6.67
District of Columbia,,1/24/21,6.98
Federated States of Micronesia,,1/12/21,0.4
Federated States of Micronesia,,1/13/21,0.53
Federated States of Micronesia,,1/14/21,0.58
Federated States of Micronesia,,1/15/21,0.67
Federated States of Micronesia,,1/19/21,1.38
Federated States of Micronesia,,1/20/21,1.69
Federated States of Micronesia,,1/21/21,2.01
Federated States of Micronesia,,1/22/21,2.42
Federated States of Micronesia,,1/23/21,2.65
Federated States of Micronesia,,1/24/21,2.65
Florida,,1/12/21,2.73
Florida,,1/13/21,3.01
Florida,,1/14/21,3.3
Florida,,1/15/21,3.62
Florida,,1/19/21,4.98
Florida,,1/20/21,5.24
Florida,,1/21/21,5.24
Florida,,1/22/21,5.52
Florida,,1/23/21,6.21
Florida,,1/24/21,6.45
Georgia,GEO,1/12/21,0.8
Georgia,GEO,1/13/21,0.81
Georgia,GEO,1/14/21,1.92
Georgia,GEO,1/15/21,1.92
Georgia,GEO,1/19/21,2.62
Georgia,GEO,1/20/21,3.35
Georgia,GEO,1/21/21,3.83
Georgia,GEO,1/22/21,5.03
Georgia,GEO,1/23/21,5.03
Georgia,GEO,1/24/21,5.03
Guam,GUM,1/12/21,0.24
Guam,GUM,1/13/21,0.24
Guam,GUM,1/14/21,2.28
Guam,GUM,1/15/21,2.28
Guam,GUM,1/19/21,2.28
Guam,GUM,1/20/21,2.28
Guam,GUM,1/21/21,2.28
Guam,GUM,1/22/21,2.28
Guam,GUM,1/23/21,2.28
Guam,GUM,1/24/21,2.28
Hawaii,,1/15/21,2.8
Hawaii,,1/19/21,3.72
Hawaii,,1/20/21,4.1
Hawaii,,1/21/21,4.47
Hawaii,,1/22/21,4.8
Hawaii,,1/23/21,4.8
Hawaii,,1/24/21,4.8
Idaho,,1/12/21,1.76
Idaho,,1/13/21,1.86
Idaho,,1/14/21,1.97
Idaho,,1/15/21,2.11
Idaho,,1/19/21,3
Idaho,,1/20/21,3.26
Idaho,,1/21/21,3.42
Idaho,,1/22/21,3.6
Idaho,,1/23/21,3.82
Idaho,,1/24/21,4.05
Illinois,,1/12/21,2.24
Illinois,,1/13/21,2.3
Illinois,,1/14/21,2.5
Illinois,,1/15/21,2.7
Illinois,,1/19/21,3.27
Illinois,,1/20/21,3.36
Illinois,,1/21/21,3.57
Illinois,,1/22/21,3.79
Illinois,,1/23/21,4.09
Illinois,,1/24/21,4.39
Indiana,,1/12/21,1.7
Indiana,,1/13/21,1.87
Indiana,,1/14/21,3.03
Indiana,,1/15/21,3.31
Indiana,,1/19/21,4.22
Indiana,,1/20/21,4.42
Indiana,,1/21/21,4.76
Indiana,,1/22/21,5.05
Indiana,,1/23/21,5.46
Indiana,,1/24/21,5.46
Iowa,,1/12/21,2.92
Iowa,,1/13/21,3.23
Iowa,,1/14/21,3.2
Iowa,,1/15/21,3.42
Iowa,,1/19/21,4.12
Iowa,,1/20/21,4.23
Iowa,,1/21/21,4.42
Iowa,,1/22/21,4.62
Iowa,,1/23/21,4.79
Iowa,,1/24/21,5
Kansas,,1/12/21,1.85
Kansas,,1/13/21,2.01
Kansas,,1/14/21,2.66
Kansas,,1/15/21,2.86
Kansas,,1/19/21,3.5
Kansas,,1/20/21,3.63
Kansas,,1/21/21,3.84
Kansas,,1/22/21,4
Kansas,,1/23/21,4.22
Kansas,,1/24/21,4.37
Kentucky,,1/12/21,2.3
Kentucky,,1/13/21,2.5
Kentucky,,1/14/21,3.25
Kentucky,,1/15/21,3.64
Kentucky,,1/19/21,4.51
Kentucky,,1/20/21,4.67
Kentucky,,1/21/21,4.88
Kentucky,,1/22/21,5.14
Kentucky,,1/23/21,5.45
Kentucky,,1/24/21,6.01
Louisiana,,1/12/21,2.52
Louisiana,,1/13/21,2.73
Louisiana,,1/14/21,3.21
Louisiana,,1/15/21,3.6
Louisiana,,1/19/21,4.76
Louisiana,,1/20/21,4.92
Louisiana,,1/21/21,5.18
Louisiana,,1/22/21,5.52
Louisiana,,1/23/21,5.86
Louisiana,,1/24/21,6.26
Maine,,1/12/21,2.83
Maine,,1/13/21,2.91
Maine,,1/14/21,3.84
Maine,,1/15/21,3.84
Maine,,1/19/21,4.67
Maine,,1/20/21,4.78
Maine,,1/21/21,4.99
Maine,,1/22/21,5.22
Maine,,1/23/21,5.51
Maine,,1/24/21,5.9
Marshall Islands,MHL,1/12/21,1.07
Marshall Islands,MHL,1/13/21,1.08
Marshall Islands,MHL,1/14/21,1.07
Marshall Islands,MHL,1/15/21,1.08
Marshall Islands,MHL,1/19/21,2.14
Marshall Islands,MHL,1/20/21,2.54
Marshall Islands,MHL,1/21/21,3.35
Marshall Islands,MHL,1/22/21,4.12
Marshall Islands,MHL,1/23/21,4.86
Marshall Islands,MHL,1/24/21,5.25
Maryland,,1/12/21,2.26
Maryland,,1/13/21,2.68
Maryland,,1/14/21,2.73
Maryland,,1/15/21,2.96
Maryland,,1/19/21,3.73
Maryland,,1/20/21,3.86
Maryland,,1/21/21,4.03
Maryland,,1/22/21,4.24
Maryland,,1/23/21,4.51
Maryland,,1/24/21,4.97
Massachusetts,,1/12/21,2.68
Massachusetts,,1/13/21,2.8
Massachusetts,,1/14/21,2.97
Massachusetts,,1/15/21,3.22
Massachusetts,,1/19/21,4.03
Massachusetts,,1/20/21,4.18
Massachusetts,,1/21/21,4.45
Massachusetts,,1/22/21,4.62
Massachusetts,,1/23/21,4.85
Massachusetts,,1/24/21,5.17
Michigan,,1/12/21,2.08
Michigan,,1/13/21,2.6
Michigan,,1/14/21,2.87
Michigan,,1/15/21,3.13
Michigan,,1/19/21,4.18
Michigan,,1/20/21,4.35
Michigan,,1/21/21,4.64
Michigan,,1/22/21,4.99
Michigan,,1/23/21,5.37
Michigan,,1/24/21,5.74
Minnesota,,1/12/21,2.7
Minnesota,,1/13/21,2.74
Minnesota,,1/14/21,2.86
