UniqueID,TempID,Collector,Apidae,Diptera,Apicystis,Ascosphaera,Aspergillus,CrithidiaSpp,CrithidiaBombi,CrithidiaExpoeki,NosemaCeranae,NosemaBombi,Order,Family,Genus,SubGenus,Species,Determiner,Date,Lat,Long
SF1000,1000,GS,,,,,,,,,,,,,,,,,6/5/19,38.545401,-121.943613
SF1001,1001,GS,,,,,,,,,,,,,,,,,6/5/19,38.545401,-121.943613
SF1002,1002,GS,,,,,,,,,,,,,,,,,6/5/19,38.545401,-121.943613
SF1003,1003,GS,,,,,,,,,,,,,,,,,6/5/19,38.545401,-121.943613
SF1004,1004,GS,,,,,,,,,,,,,,,,,6/5/19,38.545401,-121.943613
SF1005,1005,GS,,,,,,,,,,,,,,,,,6/5/19,38.545401,-121.943613
SF1006,1006,GS,,,,,,,,,,,,,,,,,6/5/19,38.545401,-121.943613
SF1007,1007,JS,,,,,,,,,,,Diptera,Syrphidae,Eupeodes,,volucris,A.Onos,6/5/19,38.545401,-121.943613
SF1008,1008,JS,,,,,,,,,,,Diptera,Syrphidae,Eristalis,,tenax,A.Onos,6/5/19,38.545401,-121.943613
SF1009,1009,GS,,,,,,,,,,,Diptera,Syrphidae,Eupeodes,,fumipennis,A.Onos,6/5/19,38.545401,-121.943613
SF1010,1010,GS,,1,,,,,,,,,Diptera,Syrphidae,Allograpta,,exotica,A.Onos,6/5/19,38.545401,-121.943613
SF1011,1011,JS,1,,,,,1,,,,,Hymenoptera,Halictidae,Halictus,Halictus,ligatus,H.Cohen,6/5/19,38.545401,-121.943613
SF1012,1012,JS,1,,,,,,,,,,Hymenoptera,Halictidae,Halictus,Halictus,ligatus,H.Cohen,6/5/19,38.545401,-121.943613
SF1013,1013,GS,1,,1,,,,,,1,,Hymenoptera,Halictidae,Halictus,Halictus,ligatus,H.Cohen,6/5/19,38.545401,-121.943613
SF1014,1014,GS,1,,1,,,,,,,,Hymenoptera,Halictidae,Halictus,Halictus,ligatus,H.Cohen,6/5/19,38.545401,-121.943613
SF1015,1015,GS,1,,1,,,,,,,,Hymenoptera,Halictidae,Halictus,Halictus,ligatus,H.Cohen,6/5/19,38.545401,-121.943613
SF1016,1016,GS,1,,,,,,,,,,Hymenoptera,Halictidae,Halictus,Halictus,ligatus,H.Cohen,6/5/19,38.545401,-121.943613
SF1017,1017,JS,1,,,,,,,,,,Hymenoptera,Halictidae,Halictus,Halictus,ligatus,H.Cohen,6/5/19,38.545401,-121.943613
SF1018,1018,JS,1,,1,,,,,,,,Hymenoptera,Halictidae,Lasioglossum,Dialictus,incompletum,D.Yanega,6/5/19,38.545401,-121.943613
SF1019,1019,JS,1,,1,,,,,,,,Hymenoptera,Halictidae,Lasioglossum,Dialictus,incompletum,D.Yanega,6/5/19,38.545401,-121.943613
SF1020,1020,JS,1,,1,1,,,,,,,Hymenoptera,Halictidae,Lasioglossum,Dialictus,incompletum,D.Yanega,6/5/19,38.545401,-121.943613
SF1021,1021,JS,,,,,,,,,,,,,,,,,6/5/19,38.545401,-121.943613
SF1022,1022,ML,1,,1,1,,,,,,,Hymenoptera,Halictidae,Lasioglossum,Dialictus,incompletum,D.Yanega,6/14/19,38.5923025,-121.985363
SF1023,1023,ML,,,,1,,,,,,,Hymenoptera,Halictidae,Lasioglossum,Dialictus,incompletum,D.Yanega,6/14/19,38.5923025,-121.985363
SF1024,1024,ML,,1,,,,,,,,,Diptera,Syrphidae,Sphaerophoria,,contigua,A.Onos,6/14/19,38.5923025,-121.985363
SF1025,1025,ML,,1,,,,,,,,,Diptera,Syrphidae,Eupeodes,,volucris,A.Onos,6/14/19,38.5923025,-121.985363
SF1026,1026,ML,,1,,,,,,,,,Diptera,Syrphidae,Sphaerophoria,,contigua,A.Onos,6/14/19,38.5923025,-121.985363
SF1027,1027,ML,,1,,,,,,,,,Diptera,Syrphidae,Eristalis,,tenax,A.Onos,6/14/19,38.5923025,-121.985363
SF1028,1028,ML,,,,,,,,,,,Diptera,Syrphidae,Eristalis,,tenax,A.Onos,6/14/19,38.5923025,-121.985363
SF1029,1029,ML,,1,,,,,,,,,Diptera,Syrphidae,Eristalis,,stipator,A.Onos,6/14/19,38.5923025,-121.985363
SF1030,1030,ML,,,,,,,,,,,Diptera,Syrphidae,Syritta,,pipiens,A.Onos,6/14/19,38.5923025,-121.985363
SF1031,1031,ML,,1,,,,,,,,,Diptera,Syrphidae,Allograpta,,exotica,A.Onos,6/14/19,38.5923025,-121.985363
SF1032,1032,ML,,,,,,,,,,,Diptera,Syrphidae,Syritta,,pipiens,A.Onos,6/14/19,38.5923025,-121.985363
SF1033,1033,ML,,1,,,,,,,,,Diptera,Syrphidae,Allograpta,,exotica,A.Onos,6/14/19,38.5923025,-121.985363
SF1034,1034,ML,,,,,,,,,,,Diptera,Syrphidae,Sphaerophoria,,sp,A.Onos,6/14/19,38.5923025,-121.985363
SF1035,1035,ML,1,,1,1,,,,,,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.5923025,-121.985363
SF1036,1036,ML,1,,,,,,1,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.5923025,-121.985363
SF1037,1037,ML,1,,,,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.5923025,-121.985363
SF1038,1038,ML,1,,1,1,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.5923025,-121.985363
SF1039,1039,ML,1,,,,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.5923025,-121.985363
SF1040,1040,ML,1,,,,,,,,,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.5923025,-121.985363
SF1041,1041,ML,,,,,,,,,,,,,,,,,6/14/19,38.5923025,-121.985363
